ID,Acronym,Name,Category,Status,Location,Parent / Creator,Period,Start Year,End Year,Jurisdiction,Jurisdiction Note,Head of State Immunity,In Absentia,Victim Participation,Creation,Landmark Case,Key Cases,Stats,Note,Legal Basis
11,IHT,Iraqi High Tribunal,HYB,closed,"Baghdad, Iraq",Iraqi Government (CPA originally),2003–2006,2003,2006,Genocide; Crimes against humanity; War crimes,No international judges — domestic with international assistance. Temporal: 17 July 1968 – 1 May 2003.,No,No,Limited,Domestic law — Coalition Provisional Authority,"Saddam Hussein executed 30 December 2006 — but before the Anfal/Kurdish genocide trial concluded, denying Kurdish victims full justice.","Saddam Hussein (executed Dec 2006 — Dujail conviction, Anfal unfinished); Chemical Ali (executed 2010); Tariq Aziz (died in custody 2015).",12 senior officials tried; 8 death sentences; 2006 Saddam executed,Deeply controversial: established under US-led CPA; Saddam executed before Anfal genocide trial concluded; defence lawyers murdered; proceedings widely criticised for lack of due process.,CPA Order 48 (2003) · Law No. 10 of 2005 (IHT Law)
12,WCC-BiH,War Crimes Chamber — Court of Bosnia and Herzegovina,HYB,active,"Sarajevo, Bosnia and Herzegovina",Bosnia and Herzegovina / EU support,2005 – ongoing,2005,,War crimes; Crimes against humanity; Genocide,Cases referred from ICTY under Rule 11 bis. International judges phased out 2013.,N/A,Limited,Yes,Domestic law — BiH Parliament,"Most active war crimes court in world by volume — over 400 cases processed. Demonstrates sustainable domestic complementarity model, but also its limits under political obstruction.",Hundreds of Srebrenica perpetrators referred from ICTY. Backlog crisis ongoing.,400+ cases; 200+ convictions; 600+ pending (backlog),Most active war crimes court by volume. Receives ICTY Rule 11 bis referrals. Unsustainable backlog of 600+ unresolved cases. Dodik/RS political obstruction ongoing.,"Law on the Court of BiH (2000, amended 2002) · ICTY Rule 11 bis"
13,ECCC,Extraordinary Chambers in the Courts of Cambodia,HYB,closed,"Phnom Penh, Cambodia",UN + Cambodia bilateral,2006 – ongoing,2006,,Genocide; Crimes against humanity; War crimes; Domestic crimes,Temporal: 17 Apr 1975 – 6 Jan 1979 (Khmer Rouge period). 40+ years after crimes.,No,No,"Civil party (3,800+ civil parties in Case 002)",Bilateral treaty — UN + Cambodia,"Duch (Case 001, 2010) — first conviction. Civil party model with 3,800+ participants directly inspired ICC victim participation design. Most expensive tribunal per conviction in history.","Case 001: Duch (S-21 commander, life, died 2020). Case 002: Nuon Chea + Khieu Samphan (life 2014/2022). Cases 003/004 stalled.",3 convicted; 1 died before verdict; Life all sentences; $300M+ total cost,"Most expensive international tribunal per conviction. 40+ years after crimes. Civil party model (3,800+ parties) directly influenced ICC reparations design. Cases 003/004 stalled by Cambodian government.","ECCC Law (2001, amended 2004) · UN-Cambodia Agreement (2003)"
14,STL,Special Tribunal for Lebanon,HYB,closed,"The Hague, Netherlands",UN Security Council (Res. 1757),2009–2023,2009,2023,Terrorism; Crimes against humanity (if applicable),First international court with terrorism as primary jurisdiction — applying Lebanese domestic law.,N/A,Yes (all four convictions in absentia),Limited,UN Security Council — Chapter VII,Ayyash et al. (2020) — first international terrorism convictions in absentia. Established that targeted political assassination can be prosecuted internationally. Zero enforcement.,Ayyash et al. — four Hezbollah members convicted in absentia for assassination of PM Hariri. Merhi acquitted. Zero defendants ever in custody.,5 accused; 4 convicted in absentia; 1 acquitted; $1B+ total cost,Unique: only international tribunal applying domestic law to terrorism. All convictions in absentia — no enforcement mechanism. Formally completed mandate 31 Dec 2023.,UNSC Res. 1757 (30 May 2007) · STL Statute
15,EAC,Extraordinary African Chambers — Hissène Habré,HYB,closed,"Dakar, Senegal",African Union + Senegal bilateral,2013–2017,2013,2017,Crimes against humanity; War crimes; Torture,Temporal: 7 June 1982 – 1 December 1990. Habré regime crimes in Chad.,No (convicted),No,Yes,AU bilateral — AU-Senegal Agreement,Habré (2016) — first African court to convict a former African head of state. First conviction anywhere of a head of state for sexual violence. 30 years of victims' advocacy rewarded — then betrayed by non-implementation of reparations.,Hissène Habré — convicted May 2016. Life sentence confirmed April 2017. $125M reparations ordered — zero paid.,"1 conviction; Life sentence; ~40,000 victims; $0 reparations paid",First African court to convict a former African head of state. First conviction for sexual violence against a head of state. Reparations order completely unimplemented.,"AU-Senegal Agreement (22 Aug 2012) · EAC Statute · ICJ, Belgium v. Senegal (2012)"
16,KSC,Kosovo Specialist Chambers & SPO,HYB,active,"The Hague, Netherlands (applying Kosovo law)",Kosovo Parliament + EU support,2015 – ongoing,2015,,Crimes against humanity; War crimes; Other crimes under Kosovo law,"Temporal: 1 Jan 1998 – 31 Dec 2000. KLA members for crimes against Serbs, Roma, political opponents.",No,No,Yes,Domestic law — Kosovo Parliament,Thaçi indictment (2020) — sitting President of Kosovo stepped down to face charges before an international body. Unprecedented in democratic states.,"Thaçi, Veseli, Mustafa, Rexhaj. Salih Mustafa convicted 26yr (2023). Thaçi trial ongoing.",10+ accused; 1 conviction (Mustafa 2023); 26yr Mustafa sentence,Politically sensitive — prosecutes Kosovo's former liberation movement. Thaçi was President at time of indictment. Sui generis: Kosovo law in The Hague.,Kosovo Law No. 05/L-053 (3 Aug 2015)
17,SCC,Special Criminal Court — Central African Republic,HYB,active,"Bangui, Central African Republic",CAR Government + UN + international support,2018 – ongoing,2018,,Crimes against humanity; War crimes; Genocide,Mixed bench: CAR + international judges. Operates in active conflict zone.,No,No,Yes,Domestic law — CAR Organic Law,First verdict (2022) — first African hybrid court to order reparations. 18 reparation measures. First tribunal to operate within a country where crimes are actively ongoing.,"First verdict 2022: Adoum, Yaouba, Tahir — crimes against humanity, war crimes. Life sentences. 18 reparation measures.",3 first convictions (2022); Life sentences; 18 reparation measures,First tribunal operating in country where crimes are ongoing. First African hybrid court with reparations mandate. Genuine complementarity with ICC.,CAR Organic Law No. 15.003 (3 Jun 2015)
18,IIIM,"International, Impartial and Independent Mechanism — Syria",INV,invest,"Geneva, Switzerland",UN General Assembly,2016 – ongoing,2016,,"Evidence preservation for crimes against humanity, war crimes, genocide in Syria",Not a court. Created after Russia/China blocked UNSC referral of Syria to ICC.,N/A,N/A,N/A (evidence body),UN General Assembly — Res. 71/248,"Supported Anwar Raslan conviction (Germany, 2022) — first conviction anywhere for Assad regime crimes. UNGA breakthrough model for UNSC veto situations.","Evidence provided to Germany (Raslan, Koblenz 2022), Sweden, France, Netherlands UJ proceedings.",100+ national proceedings supported; 2M+ items in archive,Created after Russia/China UNSC veto. UNGA resolution — no UNSC consensus required. Does not prosecute — preserves evidence. Model replicated for Myanmar (IIMM).,UNGA Res. 71/248 (21 Dec 2016)
19,UNITAD,UN Investigative Team for Accountability of Da'esh — Iraq,INV,closed,"Baghdad, Iraq",UN Security Council,2017 – 2024,2017,2024,"Evidence preservation for genocide, crimes against humanity, war crimes by ISIS in Iraq",Not a court — supports Iraqi judicial proceedings and UJ proceedings globally.,N/A,N/A,Limited,UN Security Council — Res. 2379,First systematic UN documentation of Yazidi genocide — established evidentiary foundation for multiple German proceedings.,"Supports Iraqi courts, German/French/Swedish UJ proceedings (Yazidi genocide), Sinjar and Mosul mass grave documentation.",70+ national proceedings supported; 200+ mass graves documented,Created at Iraq's request — rare UNSC unanimity. Specifically mandated to document Yazidi genocide. Mandate ended 17 Sep 2024 after Iraq declined renewal; archives transferred per UNSC Res. 2697 (2023).,UNSC Res. 2379 (21 Sep 2017); mandate ended UNSC Res. 2697 (2023)
20,IIMM,Independent Investigative Mechanism for Myanmar,INV,invest,"Geneva, Switzerland",UN Human Rights Council,2018 – ongoing,2018,,"Evidence preservation for genocide, crimes against humanity, war crimes in Myanmar",Not a court. Modelled on IIIM Syria. Established after genocide findings against Rohingya.,N/A,N/A,N/A (evidence body),UN Human Rights Council — Res. 39/2,Supports Gambia v. Myanmar (ICJ) — first ICJ genocide case with provisional measures against ongoing genocide (2020).,"Supports Gambia v. Myanmar (ICJ, provisional measures 2020); Argentina UJ proceedings; ICC (limited — via Bangladesh).",2018 established; ICJ Gambia v. Myanmar supported,Established after genocide findings against Rohingya. No UNSC consensus required. Supports Gambia's ICJ case and Argentina UJ prosecution.,UNHRC Res. 39/2 (27 Sep 2018)
21,IIMU,Independent International Commission of Inquiry on Ukraine,INV,invest,Geneva (OHCHR),UN Human Rights Council,2022 – ongoing,2022,,War crimes; Crimes against humanity; IHL violations — Russia-Ukraine,Fact-finding and documentation. Reports to UNHRC and UNGA.,N/A,N/A,N/A (documentation),UN Human Rights Council — Res. 49/1,Child deportation documentation directly supported ICC arrest warrants for Putin and Lvova-Belova (March 2023) — first time a CoI report fed directly into a head of state arrest warrant.,"Documents Russian strikes on civilian infrastructure, deportations of Ukrainian children, sexual violence, torture.",2022 established; 4+ reports published,Works alongside ICC investigation and national proceedings. Child deportation findings directly supported ICC warrants.,UNHRC Res. 49/1 (4 Mar 2022)
22,CIJA,Commission for International Justice and Accountability,INV,invest,The Hague / field offices,Independent NGO (Western government funding),2012 – ongoing,2012,,"Syrian regime crimes documentation — crimes against humanity, war crimes, genocide",Not a court or UN body. Operates like independent prosecutor — chain-of-custody evidence from regime archives.,N/A,N/A,N/A (investigative NGO),NGO — private foundation,"Caesar photographs (55,000 images of detainee deaths) + CIJA documents = central evidence in Koblenz Raslan trial (2022), first conviction for Assad regime crimes anywhere.","Caesar files central to Koblenz trial. Evidence used in Sweden, Netherlands, Austria.","800,000+ pages of regime docs; 15+ national proceedings supported",Unique model: independent prosecutor without judicial mandate. Pre-dates IIIM. Non-governmental structure allows operational flexibility.,No UN mandate — operates under national disclosure frameworks
23,STCoA,Special Tribunal for the Crime of Aggression against Ukraine,ADHOC,active,"The Hague, Netherlands",Council of Europe — Enlarged Partial Agreement / Ukraine,2025 – ongoing,2025,,Crime of aggression — Russian political and military leadership,Fills ICC gap: ICC cannot exercise aggression jurisdiction over Russian nationals. Temporal: from 24 Feb 2022. Personal: senior leadership in a position to control or direct State action.,"Limited (troika immunity for sitting Head of State, Head of Government, Foreign Minister)",Yes (with safeguards),Yes (participation + reparations link),Bilateral agreement — Council of Europe + Ukraine,"First international tribunal dedicated solely to the crime of aggression since Nuremberg/Tokyo. Established by Council of Europe Enlarged Partial Agreement — novel institutional model. Operates alongside ICC (war crimes, crimes against humanity, genocide) and Register of Damage.","Mandate to investigate and prosecute senior Russian political and military leadership (Putin, Medvedev, Lavrov, Shoigu, Gerasimov and others) for the crime of aggression from 24 February 2022.",40+ supporting states; 25 Jun 2025 agreement signed (Strasbourg); 2026 operational ramp-up,"Established by bilateral agreement between Ukraine and the Council of Europe, signed 25 June 2025 in Strasbourg, building on the Reykjavík Declaration (2023) and the Core Group of States process. Hosted in The Hague. Troika immunity preserved for sitting Heads of State/Government and Foreign Ministers — proceedings against the troika may begin but trial only after they leave office. In absentia trials permitted with retrial guarantees. Linked to the Register of Damage (CoE, 2023) and future Claims Commission.",Agreement between Ukraine and the Council of Europe on the Special Tribunal (25 Jun 2025) · Enlarged Partial Agreement on the STCoA · CoE Reykjavík Declaration (May 2023)
24,Malabo,African Court Criminal Chamber (Malabo Protocol),FUT,proposed,"Arusha, Tanzania (proposed)",African Union,Adopted 2014 — not yet in force,2014,,Genocide; Crimes against humanity; War crimes; Aggression; Terrorism; Corruption; Trafficking; Environmental crimes,Broadest subject-matter jurisdiction ever proposed. Requires 15 AU ratifications — zero as of 2026.,Yes (immunity clause for sitting heads of state),TBD,TBD,AU treaty — Malabo Protocol,The immunity clause — sitting heads of state immune during tenure — is simultaneously the most notable and most damaging feature.,Not yet operational.,0 ratifications; 14 crime categories; 2014 adopted,Broadest jurisdiction ever proposed. Immunity clause fundamentally contradicts the Nuremberg/Rome Statute model. Zero ratifications after 10 years.,Malabo Protocol (27 Jun 2014)
25,CAH-Conv,Convention on Crimes Against Humanity (ILC Draft),FUT,proposed,UN General Assembly — Sixth Committee,UN International Law Commission → UNGA,ILC Draft Articles 2019 — UNGA negotiations ongoing,2019,,Crimes against humanity — treaty framework,Not a court — treaty creating state obligations. The only major international crime without its own dedicated treaty.,No (proposed),N/A,Yes (proposed),UNGA treaty process — ILC draft,If adopted: closes the single largest gap in international criminal law. Crimes against humanity currently have no treaty. Most significant ICL treaty since Rome Statute.,N/A — treaty in negotiation.,2019 ILC Draft Articles; 2023 UNGA negotiations; 0 ratifications,The glaring ICL gap: crimes against humanity have no dedicated treaty. If adopted: aut dedere aut judicare; reparations obligation; universal jurisdiction.,ILC Draft Articles (2019) · UNGA Res. 74/187
26,Sudan-TJ,Sudan Transitional Justice Mechanism,FUT,proposed,Sudan / regional (TBD),Juba Peace Agreement / AU / IGAD,Agreed 2020 — stalled since 2021 coup,2020,,Crimes against humanity; War crimes; Genocide — Darfur,Juba Peace Agreement mandated hybrid court + truth commission + reparations commission. Zero implementation.,No (proposed),TBD,Yes (proposed),Peace agreement — Juba Peace Agreement,The tentative TJ architecture that exists only on paper — paradigmatic case of peace agreement TJ provisions rendered void by political rupture.,"Al-Bashir (ICC fugitive — transfer committed, not executed); Kushayb (ICC, surrendered 2020).",2020 Juba Agreement; 0 mechanism established,Tentative TJ architecture in Juba agreement — then derailed by 2021 coup and 2023 civil war. ICC Kushayb trial is the only active accountability.,"Juba Peace Agreement (31 Aug 2020), Chapter V"
29,NMT-Drs,Nuremberg Doctors' Trial (NMT Case 1),ADHOC,closed,"Nuremberg, Germany",US Military Government — NMT,Dec 1946 – Aug 1947,1946,1947,War crimes; Crimes against humanity,Medical experimentation on concentration camp prisoners without consent.,N/A,No,No,US Military — Control Council Law No. 10,Nuremberg Code (1947) — 10 principles of medical ethics and informed consent. Foundation of all subsequent medical research ethics. Still operative today.,"Karl Brandt (Hitler's personal physician, executed). Experiments on hypothermia, high altitude, infectious diseases.",23 defendants; 7 executed; 9 acquitted,Produced the Nuremberg Code (1947) — foundation of international medical research ethics. Declaration of Helsinki (1964) builds directly on it.,Control Council Law No. 10 · Nuremberg Code (1947)
30,NMT-Ein,Einsatzgruppen Trial (NMT Case 9),ADHOC,closed,"Nuremberg, Germany",US Military Government — NMT,Sep 1947 – Apr 1948,1947,1948,War crimes; Crimes against humanity,"Mobile killing squads — ~2 million Jews, Roma, and others murdered in occupied Soviet Union.",N/A,No,No,US Military — Control Council Law No. 10,"Ohlendorf testimony — calmly acknowledged ordering 90,000 murders. Definitively established command responsibility for systematic mass killing.","Otto Ohlendorf (90,000 victims, executed 1951). All four Einsatzgruppen commanders tried.",24 defendants; 14 death sentences; 2M+ Einsatzgruppen victims,Ohlendorf's calm testimony set the command responsibility standard. Most death sentences commuted under Cold War pressure.,Control Council Law No. 10
31,NMT-Min,Ministries Trial — Wilhelmstrasse (NMT Case 11),ADHOC,closed,"Nuremberg, Germany",US Military Government — NMT,Jan 1948 – Apr 1949,1948,1949,Crimes against peace; War crimes; Crimes against humanity,Longest subsequent proceeding. Targeted civilian administration of Nazi state.,N/A,No,No,US Military — Control Council Law No. 10,Weizsäcker conviction — civilian foreign ministry officials bear criminal responsibility for facilitating atrocities. 'Just following orders' as civil servant explicitly rejected.,"Ernst von Weizsäcker (State Secretary, convicted). Foreign ministry officials, economic planners.",21 defendants; 19 convicted; 2 acquitted,Established civilian bureaucrats who facilitate crimes bear individual responsibility. Sentences later commuted by McCloy.,Control Council Law No. 10
37,JEP,Jurisdicción Especial para la Paz — Colombia,HYB,active,"Bogotá, Colombia",Colombian Government / FARC-EP Peace Agreement,2017 – ongoing,2017,,Crimes against humanity; War crimes; Grave human rights violations,Transitional justice tribunal. Restorative justice with reduced sanctions for truth-telling.,No,No,Civil party,Peace agreement — Colombian Legislative Act,First large-scale transitional justice tribunal to systematically apply restorative justice — reduced sanctions for full truth-telling. Innovative macro-case methodology.,"Macro-cases on kidnapping, recruitment of minors, extrajudicial killings ('false positives').","2017 established; 7 macro-cases opened; 9,000+ submissions","Part of Colombia's System for Truth, Justice, Reparation, and Non-Repetition. Combines restorative and retributive justice.",Colombian Legislative Act 01 of 2017 (Peace Agreement)
