ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
cja-romagoza,Romagoza Arce v. García & Vides Casanova,99-8364-CIV,United States,"U.S. District Court, Southern District of Florida",2002-07-23,2002,El Salvador,Torture; Crimes against humanity; Command responsibility,Universal jurisdiction (ATS/TVPA),civil,$54.6 million jury verdict,conviction,No,English,,Three Salvadoran torture survivors won a landmark jury verdict against two former Salvadoran defense ministers — Gen. José Guillermo García and Gen. Carlos Eugenio Vides Casanova — for torture and crimes against humanity committed during the Salvadoran civil war. The jury found both defendants liable under command responsibility doctrine. CJA represented the plaintiffs in what was the first jury trial holding foreign military commanders liable for human rights abuses under the TVPA. The case demonstrated the viability of civil universal jurisdiction as a tool for survivor-centered accountability.,Command responsibility — civil liability | TVPA jury trial | Torture survivor testimony | Civil universal jurisdiction,https://cja.org/what-we-do/litigation/romagoza-v-garcia/,CJA (https://cja.org),,,,,,,0,
ecchr-colonia-dignidad,Colonia Dignidad (Hartmut Hopp),3 StR 370/16,Germany,Düsseldorf Higher Regional Court,2018-12-01,2018,Chile,Aiding and abetting sexual abuse; Crimes against humanity,Active personality / Universal jurisdiction,criminal,Recognition of Chilean conviction (5 years),conviction,No,German,,"German courts enforced a Chilean conviction against Hartmut Hopp, a German citizen and former second-in-command of Colonia Dignidad, a German-Chilean sect compound where systematic torture, sexual abuse, and human rights violations occurred during the Pinochet era. ECCHR supported victims in seeking accountability in Germany after Hopp fled Chile. The case involved complex questions of mutual legal assistance and recognition of foreign criminal judgments. It demonstrated how universal jurisdiction and cross-border legal cooperation can close impunity gaps when perpetrators flee to their countries of nationality.",Recognition of foreign criminal judgments | Cross-border legal cooperation | Sexual abuse in authoritarian context | Impunity gap — nationality state,https://www.justiz.nrw.de,ECCHR (https://www.ecchr.eu); FIDH (https://www.fidh.org),Colonia Dignidad survivors' association,,,,,,0,
jurdi-syria-structural,Syria Structural Investigation (Germany),Multiple proceedings,Germany,Various German courts / Federal Prosecutor,2023-01-01,2023,Syria,Crimes against humanity; War crimes; Torture,Universal jurisdiction,criminal,Ongoing (multiple proceedings),ongoing,No,German,ZBKV (Central Office for Combating War Crimes),"Germany's structural investigation into crimes committed in Syria encompasses multiple proceedings against former Syrian officials and militia members. JURDI (Lawyers for Justice in Libya and Beyond) and other organizations have contributed legal analysis and expertise to support these proceedings. The structural approach allows German prosecutors to build interconnected cases based on common evidence about the systematic nature of the Assad regime's crimes. This approach has been praised as a model for universal jurisdiction investigations and has been supported by numerous NGOs including ECCHR, FIDH, and Legal Action Worldwide.",Structural investigation methodology | Universal jurisdiction — systematic approach | Cross-NGO collaboration | Evidence preservation,https://www.generalbundesanwalt.de,JURDI (https://www.jurdi.org); ECCHR (https://www.ecchr.eu); Legal Action Worldwide (https://www.legalactionworldwide.org); FIDH (https://www.fidh.org),,,,,,,0,SJAC — Structural Investigations: https://syriaaccountability.org/resources/universal-jurisdiction/ | ECCHR — Syria Cases: https://www.ecchr.eu/en/topic/syria/ | UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | Eurojust — Core International Crimes Database: https://www.eurojust.europa.eu/national-jurisprudence-database-core-international-crimes
interjust-network-case,INTERJUST Network Coordination Cases,Various,Multiple EU states,Various EU courts (coordinated via Eurojust/INTERJUST),2022-01-01,2022,Syria,Crimes against humanity; War crimes; Torture,Universal jurisdiction,criminal,Ongoing (multiple coordinated proceedings),ongoing,No,English,,"INTERJUST is a collaborative network facilitating cross-border cooperation among European prosecutors and investigators working on international crimes cases. Through mechanisms like Joint Investigation Teams (JITs) and Eurojust coordination, INTERJUST has supported parallel investigations into Syrian regime crimes across Germany, France, Sweden, and the Netherlands. The network exemplifies how institutional cooperation strengthens universal jurisdiction enforcement across multiple jurisdictions, enabling evidence sharing and coordinated prosecution strategies for complex international crimes cases.",Cross-border prosecutorial cooperation | Joint Investigation Teams | Evidence sharing frameworks | Institutional support for UJ,,ECCHR (https://www.ecchr.eu),,,,,,,0,
law-somalia,Somalia/South Sudan Accountability (LAW),Various proceedings,Multiple,Various / UN mechanisms,2021-01-01,2021,Somalia,War crimes; Crimes against humanity; Sexual violence,Universal jurisdiction,criminal,Ongoing (investigations and UN submissions),ongoing,No,English,,"Legal Action Worldwide (LAW) has pursued accountability for international crimes committed in Somalia and South Sudan through a combination of universal jurisdiction complaints, strategic litigation, and engagement with UN accountability mechanisms. LAW has documented conflict-related sexual violence and supported survivor-led advocacy for justice. Their work includes supporting complaints filed in multiple jurisdictions and providing legal analysis to international investigative bodies. LAW's approach integrates survivor participation with strategic litigation and demonstrates how civil society organizations can bridge the gap between documentation and legal accountability.",Survivor-led accountability | Multi-jurisdictional complaints | Conflict-related sexual violence documentation | UN mechanism engagement,https://www.legalactionworldwide.org,Legal Action Worldwide (https://www.legalactionworldwide.org),,,,,,,0,
ccr-torture-ats,Al Shimari v. CACI,1:08-cv-00827,United States,"U.S. District Court, Eastern District of Virginia",2019-04-30,2019,Iraq,Torture; War crimes; Cruel and inhuman treatment,ATS / Domestic tort,civil,Settlement (jury trial phase),other,Yes,English,,"Four Iraqi plaintiffs, former detainees at Abu Ghraib prison, sued CACI Premier Technology, a private military contractor, for its role in the torture and abuse at Abu Ghraib. CCR (Center for Constitutional Rights) represented the plaintiffs in this landmark civil case against a corporate defendant for involvement in torture. After years of litigation and multiple appeals, the case reached the jury trial stage before settling. The case was significant for establishing that private military contractors can be held civilly liable for human rights abuses and that the political question doctrine does not bar such claims.",Corporate civil liability for torture | Private military contractor accountability | Political question doctrine — not a bar | Abu Ghraib accountability,https://ccrjustice.org/al-shimari,CCR (https://ccrjustice.org),,,,,,,1,
arg-uribe-colombia,Álvaro Uribe Vélez (Colombia — False Positives),N/A,Argentina,"Federal Criminal Court, Buenos Aires",2023-01-01,2023,Colombia,Crimes against humanity; Extrajudicial killings,Universal jurisdiction,criminal,Investigation opened,ongoing,No,Spanish,,Argentine prosecutors opened an investigation into 'false positive' crimes allegedly committed under the presidency of Álvaro Uribe Vélez of Colombia. The investigation focuses on extrajudicial killings by Colombian military forces who killed civilians and dressed them as guerrilla fighters to inflate combat statistics. Argentina's use of universal jurisdiction for Colombian crimes represents an expansion of South-South accountability.,South-South universal jurisdiction | False positives as crimes against humanity | Head-of-state accountability,,CELS (https://www.cels.org.ar),,,,,,,0,
arg-ortega-nicaragua,Daniel Ortega & Rosario Murillo (Nicaragua),N/A,Argentina,"Federal Criminal Court, Buenos Aires",2023-01-01,2023,Nicaragua,Crimes against humanity; Murder; Torture; Enforced disappearance,Universal jurisdiction,criminal,Investigation ongoing,ongoing,No,Spanish,,"Investigation into crimes against humanity allegedly committed by Nicaraguan President Daniel Ortega, Vice-President Rosario Murillo, and fourteen other high-ranking officials during the violent suppression of 2018 protests. The Argentine complaint was filed by Nicaraguan civil society after domestic justice became impossible under the Ortega regime.",Crimes against humanity — suppression of protests | Head-of-state investigation | Exile community complaints,,,,,,,,,0,
arg-mbs-saudi,Mohammed bin Salman (Saudi Arabia — Khashoggi & Yemen),N/A,Argentina,"Federal Criminal Court, Buenos Aires",2023-01-01,2023,Saudi Arabia,Crimes against humanity; War crimes; Murder; Torture,Universal jurisdiction,criminal,Investigation ongoing,ongoing,No,Spanish,,"Argentine investigation into Saudi Crown Prince Mohammed bin Salman's alleged role in the murder of journalist Jamal Khashoggi in Turkey, the torture of Saudi nationals, and war crimes committed in Yemen. Filed during a G20 summit in Buenos Aires, the case demonstrates the use of universal jurisdiction against sitting heads of state and senior officials of powerful nations.",UJ against powerful states | Assassination of journalist | War crimes in Yemen | G20 filing strategy,,DAWN (https://dawnmena.org); Human Rights Watch (https://www.hrw.org),,,,,,,0,
arg-venezuela,Venezuelan Officials (2014 Protests),N/A,Argentina,"Federal Criminal Court, Buenos Aires",2023-01-01,2023,Venezuela,Crimes against humanity,Universal jurisdiction,criminal,Investigation ongoing,ongoing,No,Spanish,,Investigation of fourteen Venezuelan officials including Juan José Noguera Pietri and José Dionisio Goncálvez Mendoza for crimes against humanity during the 2014 protests in Venezuela. Argentina is the only country currently investigating senior Venezuelan officials for crimes against humanity under universal jurisdiction.,Crimes against humanity — protest suppression | Latin American UJ solidarity,,,,,,,,,1,
aus-schulz-afghanistan,Oliver Schulz (Afghanistan War Crime),N/A,Australia,Australian Federal Court,2023-03-20,2023,Afghanistan,War crimes; Murder of a civilian,Active nationality / Universal jurisdiction,criminal,Charged — first-ever Australian soldier,ongoing,No,English,,Oliver Schulz became the first-ever Australian soldier charged over alleged war crimes in Afghanistan. The charge relates to the murder of an Afghan civilian in 2012. The case follows the Brereton Report which found credible evidence that Australian special forces unlawfully killed 39 Afghan civilians and prisoners. The prosecution represents a landmark moment in Australian military accountability.,First military prosecution for war crimes in Australia | Brereton Report follow-up | Active nationality jurisdiction,,,,,,,,,0,
austria-syrian-intel,Khaled H. & Others (Syrian Intelligence),N/A,Austria,Austrian courts,2023-01-01,2023,Syria,Crimes against humanity; Torture,Universal jurisdiction,criminal,Investigation ongoing,ongoing,No,German,,Investigation against Syrian intelligence officers in Austria continues. The case gained attention when Austrian government officials were acquitted of charges of asylum abuse related to the handling of Syrian asylum seekers connected to the investigation.,Syrian intelligence investigation | Asylum system intersection,,,,,,,,,0,
